age,studytime,failures,absences,risk
18,2,0,6,1
17,2,0,4,1
15,2,3,10,0
15,3,0,2,0
16,2,0,4,0
16,2,0,10,0
16,2,0,0,0
17,2,0,6,1
15,2,0,0,0
15,2,0,0,0
15,2,0,0,1
15,3,0,4,0
15,1,0,2,0
15,2,0,2,0
15,3,0,0,0
16,1,0,4,0
16,3,0,6,0
16,2,0,4,0
17,1,3,16,1
16,1,0,4,0
15,2,0,0,0
15,1,0,0,0
16,2,0,2,0
16,2,0,0,0
15,3,0,2,1
16,1,2,14,1
15,1,0,2,0
15,1,0,4,0
16,2,0,4,0
16,2,0,16,0
15,2,0,0,0
15,2,0,0,0
15,2,0,0,0
15,2,0,0,0
16,1,0,0,0
15,1,0,0,1
15,3,0,2,0
16,3,0,7,0
15,3,0,2,0
15,1,0,8,0
16,2,1,25,0
15,1,0,8,0
15,2,0,2,0
15,1,0,0,0
16,2,1,14,1
15,2,0,8,1
16,2,0,12,0
16,4,0,4,0
15,2,0,2,0
15,2,1,2,1
16,2,0,2,0
15,2,0,2,0
15,1,1,6,0
15,1,0,0,0
15,1,0,6,0
16,2,0,8,0
15,2,0,0,0
15,2,0,4,0
15,2,0,2,1
16,2,0,2,0
16,2,0,6,0
16,1,0,6,0
16,2,0,4,1
16,3,0,2,1
15,2,0,0,0
16,2,0,2,0
15,4,0,4,0
16,4,0,4,1
15,2,0,2,1
15,4,0,12,0
16,4,0,0,0
15,4,0,0,0
15,2,2,2,1
16,1,0,2,0
16,2,0,54,0
15,2,0,6,0
15,4,0,8,0
16,4,0,0,0
17,1,3,2,0
16,2,0,12,1
15,1,0,2,0
15,3,0,4,0
15,2,0,10,1
15,2,0,4,0
15,2,0,2,0
15,2,2,6,1
16,2,0,4,1
15,3,0,4,0
16,2,1,12,0
16,2,0,18,1
16,3,0,0,1
15,1,0,4,0
16,2,0,4,1
16,2,0,0,0
15,4,0,6,0
15,4,1,2,0
16,1,0,2,0
16,2,0,2,0
16,1,0,6,0
16,3,0,0,1
16,1,0,14,1
16,3,0,0,0
15,1,0,4,0
15,2,0,26,1
15,2,0,0,0
15,4,0,10,0
15,4,0,8,1
16,3,0,2,0
15,4,0,6,0
16,3,0,4,0
15,1,0,6,0
16,3,1,0,0
16,2,1,6,0
15,1,0,10,0
15,2,0,8,1
16,2,0,2,0
15,2,0,2,0
16,1,0,0,0
17,2,1,20,1
15,1,0,6,0
15,2,0,2,0
15,4,0,6,0
16,2,0,2,0
16,1,0,18,0
16,2,0,0,1
15,1,0,0,0
15,2,0,0,0
19,2,3,2,1
18,1,2,0,1
16,1,0,8,0
15,3,2,0,1
15,1,0,0,1
17,1,0,12,0
16,1,0,16,0
15,2,0,0,1
15,3,0,0,1
17,2,0,0,1
16,1,2,0,1
16,2,1,0,0
15,1,0,0,0
15,4,0,0,1
16,1,2,8,1
15,3,0,2,0
16,1,0,2,0
17,1,3,0,1
15,2,0,0,0
15,2,3,0,1
15,2,0,2,0
16,1,0,0,1
15,1,3,0,0
18,1,3,0,1
16,1,1,6,0
15,3,2,8,0
19,1,3,0,1
17,1,0,0,0
15,2,0,2,1
17,1,0,8,0
18,1,3,6,0
16,1,0,2,0
16,2,1,4,0
17,1,2,0,1
15,2,2,6,1
16,1,1,0,1
17,1,0,2,0
17,2,3,0,1
16,1,1,16,0
16,2,0,4,0
16,2,0,0,0
16,2,0,0,1
16,2,0,0,0
16,1,2,0,1
16,2,0,2,0
17,2,0,0,0
16,2,3,0,1
16,2,0,4,1
17,2,0,4,1
16,2,0,2,0
17,2,0,4,1
16,1,0,10,1
17,2,0,4,0
16,2,0,10,1
16,2,0,2,0
17,2,0,0,0
17,2,0,56,1
16,2,0,14,0
17,2,0,12,0
16,1,0,2,0
16,2,0,0,0
17,2,0,6,1
17,2,0,4,0
16,2,0,10,0
17,2,0,0,1
17,2,0,12,1
16,1,0,8,0
16,1,0,0,0
17,2,0,0,0
17,1,0,4,0
16,1,0,8,0
17,1,1,24,0
16,2,0,0,0
16,2,0,2,0
16,2,0,6,0
17,2,0,4,0
17,1,0,18,1
16,4,0,6,0
17,3,1,28,1
16,2,3,5,1
16,2,0,10,0
16,1,0,6,0
17,3,0,6,1
19,4,0,10,1
17,2,0,13,0
16,2,0,0,0
18,2,1,15,1
17,1,0,12,0
17,2,0,2,0
17,2,2,22,1
18,2,1,13,1
17,1,0,3,1
17,3,0,4,0
17,2,0,2,1
17,3,1,0,1
16,2,0,2,0
18,2,0,0,0
16,3,0,0,0
18,2,1,16,1
17,2,0,10,0
17,2,0,2,0
18,2,0,14,1
17,3,0,10,0
17,2,0,14,0
17,2,0,4,0
17,2,0,14,1
16,2,0,2,0
16,2,0,18,1
16,3,0,10,0
17,2,0,4,0
16,1,0,20,0
17,2,0,2,0
18,2,1,0,1
17,2,0,14,0
17,2,0,2,0
16,1,0,0,1
16,1,0,0,0
18,3,0,0,1
16,1,0,6,0
17,1,0,4,0
22,1,3,16,1
18,2,1,8,1
16,1,0,0,0
18,1,1,0,1
16,2,0,6,0
18,1,1,4,1
16,1,0,0,1
17,1,0,0,0
17,1,1,2,1
17,4,0,6,0
19,2,0,12,0
18,2,0,8,0
17,4,0,0,1
18,2,0,21,0
18,2,0,2,1
18,3,0,1,0
17,3,0,4,1
18,3,0,0,1
18,2,0,13,0
17,2,0,2,0
18,2,0,8,0
18,2,0,10,0
18,2,0,0,1
19,2,2,15,1
18,4,0,4,0
18,2,0,2,0
17,2,0,2,0
17,2,0,2,0
17,2,0,6,0
18,2,0,75,1
18,1,0,22,1
18,2,1,15,1
18,1,0,8,0
17,1,0,30,1
17,1,1,19,0
18,4,0,1,0
18,2,0,4,0
17,2,0,4,0
17,2,0,2,0
18,3,0,5,0
17,3,0,6,0
18,3,0,6,0
18,2,0,9,0
18,2,0,11,0
17,3,0,0,0
18,2,1,12,0
17,4,0,6,0
18,3,0,8,0
17,1,0,4,0
19,2,0,0,1
18,2,0,10,1
18,4,0,0,0
18,1,0,5,0
18,2,0,14,0
17,1,0,0,0
17,3,0,0,0
17,4,0,0,0
19,2,1,20,0
18,2,1,8,0
20,1,0,0,0
19,1,1,38,1
19,2,1,0,0
19,2,1,18,0
19,2,1,0,1
19,2,0,20,0
19,2,1,3,0
19,2,1,22,0
19,3,2,14,0
19,3,1,40,0
18,2,0,0,1
18,3,0,9,1
17,3,0,0,0
18,2,0,2,0
17,2,0,23,0
17,2,0,12,1
17,3,0,3,0
17,3,0,1,0
17,3,0,0,0
18,3,0,3,0
17,1,0,3,0
17,1,0,8,0
17,3,0,7,1
17,3,0,4,0
18,4,0,2,1
17,3,0,7,0
18,2,0,0,1
18,2,0,0,1
18,4,0,0,1
17,3,0,16,0
19,3,1,12,0
17,2,0,0,1
18,4,0,7,0
17,2,0,4,0
19,3,1,4,0
18,2,1,0,1
18,2,0,11,0
17,2,1,0,1
18,3,0,4,0
18,3,0,7,0
18,3,0,9,0
18,3,0,0,1
17,3,0,0,0
18,1,1,10,0
19,2,3,8,1
17,2,0,2,0
18,1,1,7,1
19,1,1,4,1
17,2,0,4,0
18,2,0,0,1
17,2,0,4,0
17,2,0,2,0
18,1,0,4,0
18,3,0,0,0
18,2,0,0,0
18,2,1,2,0
18,2,0,0,0
17,2,0,0,0
17,2,0,0,0
18,2,0,4,0
18,3,0,0,0
17,1,1,0,1
18,1,0,0,0
18,2,0,10,0
19,2,2,4,1
18,1,0,3,0
17,3,0,8,0
17,1,0,14,1
18,3,0,0,0
18,3,0,2,0
20,3,2,4,0
18,2,0,4,0
18,2,0,0,0
17,2,0,17,0
18,2,0,4,0
18,1,0,5,1
17,2,0,2,0
19,1,1,0,1
18,1,1,14,1
18,3,0,2,0
18,1,0,7,1
19,3,1,0,1
18,2,0,0,1
18,2,1,0,1
20,2,2,11,1
17,1,0,3,0
21,1,3,3,1
18,1,0,0,0
19,1,0,5,1
